listing_id,listing_name,room_type,cluster_id,guests,bedrooms,baths,cleaning_fee,num_reviews_x,rating_overall,superhost,professional_management,ttm_avg_rate,ttm_occupancy
13970956,*Sparkling Clean* 5-Star Modern Luxury Near Uptown,entire_home,0,4.0,2.0,1.0,90.0,250,4.96,1,0,157.6,0.718
8698538,"Pet Friendly by Greenway, Light Rail & Food Halls",entire_home,1,5.0,2.0,2.5,170.0,374,4.91,0,0,190.1,0.518
26843717,"Spacious 3bd/2ba home • Pet Friendly, Fenced Yard",entire_home,1,8.0,3.0,2.0,99.0,145,4.9,1,0,215.5,0.384
24810258,"Uptown Townhouse (Dec 14-27, 3 Nights Minimum)",entire_home,0,2.0,1.0,1.0,0.0,38,4.79,0,0,82.3,0.219
20725751,Beautiful Charlotte Condo with King Bed and Free P,entire_home,0,6.0,2.0,1.0,140.0,85,4.86,1,1,201.0,0.384
20725559,Vibrant and Cozy 2BR near Uptown with Balcony,entire_home,1,6.0,2.0,2.0,140.0,68,4.79,1,1,228.1,0.433
26976316,Private Bungalow by NoDa/Uptown—Walk to Light Rail,entire_home,0,2.0,1.0,1.0,70.0,393,4.96,1,0,113.0,0.819
14295733,"Large, Bright 5 Bedroom Home in Southend",entire_home,1,12.0,5.0,2.5,255.0,288,4.92,0,0,367.0,0.192
31639541,Top Floor South Park One Bedroom Condo,entire_home,0,3.0,1.0,1.0,162.0,15,4.8,0,0,83.0,0.427
21784359,2 Mi to Dtwn: Home in NoDa District Near UNC!,entire_home,1,8.0,4.0,3.0,0.0,94,4.48,0,0,318.9,0.389
12046579,Big and bright Charlotte Apartment,entire_home,0,3.0,1.0,1.0,50.0,233,4.91,1,0,81.9,0.329
29188280,"Sparkling Clean, Private & Chic, Just Five Min. From Uptown.",entire_home,0,3.0,1.0,1.0,0.0,549,4.99,1,0,99.7,0.175
27871966,Chic Modern Bamboo Bungalow,entire_home,0,4.0,2.0,1.0,60.0,187,4.98,1,0,209.2,0.603
20725585,"Historic Dilworth Condo: King Bed, Porch & Charm!",entire_home,0,4.0,1.0,1.0,112.0,102,4.87,1,1,178.7,0.666
32405959,"University Townhome, available for long-term.",entire_home,0,4.0,2.0,2.5,0.0,32,4.84,1,0,110.6,0.271
20927161,Open floor plan Plaza Midwood bungalow,entire_home,0,4.0,2.0,2.0,75.0,326,4.83,0,0,168.1,0.4
16532820,Wonderful Home in the city - Walk to everything,entire_home,1,8.0,4.0,2.5,185.0,488,4.93,1,1,348.2,0.559
21162078,1Bed/1Bath Apt in Heart of Uptown Charlotte.,entire_home,0,3.0,1.0,1.0,100.0,58,4.97,1,0,119.0,0.395
27432872,Cozy & Modern Home Close to Uptown & Airport,entire_home,1,8.0,3.0,2.0,120.0,118,4.85,1,0,211.6,0.356
27491336,Romantic Bright Industrial Revolution,entire_home,1,4.0,3.0,2.5,170.0,165,4.98,1,0,198.9,0.395
28012164,Lagniappe NoDa: center of NoDa + walk to lightrail,entire_home,0,3.0,1.0,1.0,0.0,167,4.99,1,0,117.8,0.107
32269098,"1.5 miles to Uptown, 1300+sf townhome...",entire_home,0,3.0,2.0,1.0,50.0,76,4.86,1,0,109.9,0.405
14123099,Minutes to Everything...now on the Gold Line!!!,entire_home,0,4.0,2.0,1.0,0.0,95,4.88,1,0,115.4,0.384
26425761,Charming home. Historic district. Walk to the city,entire_home,1,8.0,3.0,2.5,175.0,249,4.94,1,1,289.1,0.567
30376303,"Cozy 5BR Retreat w/Fire Pit, BBQ & Outdoor Lounge",entire_home,1,12.0,5.0,2.5,275.0,123,4.89,1,1,536.5,0.512
32308268,5⭐️Smart🏡 5mins to Uptown ♛ King Bed ❤️Pets 🗽RNC,entire_home,1,7.0,4.0,2.0,130.0,334,4.38,0,0,193.0,0.537
23595006,Cozy LOFT in Plaza-Midwood,entire_home,0,2.0,1.0,1.0,20.0,330,4.98,0,0,117.5,0.704
7142723,"Peaceful Zen Retreat w/Hot Tub, Min to Uptown!",entire_home,1,7.0,3.0,2.0,140.0,443,4.76,1,0,271.0,0.433
20350514,"Comfortable, Historic, South End Condo",entire_home,0,2.0,1.0,1.0,80.0,260,4.85,1,0,137.4,0.649
16705630,"Entire Basement Suite,Cozy Fireplace,GREAT Locale!",entire_home,0,3.0,1.0,1.0,25.0,357,4.92,1,0,144.6,0.342
22402128,"Peaceful, Garden-level Apt - University/North CLT",entire_home,0,3.0,1.0,1.0,125.0,185,4.89,1,0,109.4,0.584
21736575,Tuckaway Retreat,entire_home,1,6.0,3.0,3.5,225.0,64,4.92,0,0,228.9,0.192
30983880,Sunny Retreat in SouthPark – Spacious 2 BR 1Bath,entire_home,0,4.0,2.0,1.0,125.0,88,4.95,0,0,163.3,0.364
14865673,"Uptown w/Garage, Wash & Fold, Housekeeping, Treats",entire_home,0,2.0,1.0,1.0,0.0,311,5.0,1,0,93.8,0.521
20725610,"Charlotte Getaway: King Bed, Porch & Free Parking",entire_home,0,2.0,1.0,1.0,110.0,52,4.81,1,1,168.1,0.515
22829801,Uptown 3rd Ward | Luxury Apt | City Skyline View,entire_home,0,4.0,1.0,1.0,71.0,699,4.9,1,1,200.3,0.671
20725832,Light Filled 2 Bedroom in Myers Park with a Porch,entire_home,0,6.0,2.0,2.0,140.0,96,4.94,1,1,231.7,0.644
27431650,2B/1BA Pinball! Pets OK! No Chores! Fenced! 28226,entire_home,0,4.0,2.0,1.0,63.0,19,5.0,0,0,144.7,0.063
18050287,"Welcome to 
Harrisburg Hideaway!
Live Laugh Love!",private_room,0,3.0,3.0,0.0,0.0,315,4.9,1,0,73.1,0.562
26846030,Relaxing home in SouthEnd Area! Pets are welcomed!,entire_home,0,4.0,1.0,1.0,70.0,287,4.69,0,0,95.4,0.737
