total_units,stable_core_units,premium_upside_units,premium_share,expected_ttm_revenue,expected_annual_volatility,risk_adjusted_score,portfolio_adr,portfolio_occupancy,portfolio_revpar,expected_off_peak_revenue
10,10,0,0.0,283475.921,16486.9616,17.1939,147.6928,0.4692,70.6836,159581.04
10,9,1,0.1,295638.123,17839.5581,16.5721,161.7796,0.4566,73.5513,165287.43
10,8,2,0.2,307800.325,19096.5904,16.1181,175.8663,0.4441,76.4189,170993.82
10,7,3,0.3,319962.527,20275.8402,15.7805,189.953,0.4315,79.2866,176700.21
10,6,4,0.4,332124.729,21390.1759,15.527,204.0398,0.4189,82.1543,182406.6
10,5,5,0.5,344286.931,22449.2663,15.3362,218.1266,0.4064,85.0219,188112.99
10,4,6,0.6,356449.133,23460.5943,15.1935,232.2133,0.3938,87.8896,193819.38
10,3,7,0.7,368611.335,24430.0924,15.0884,246.3,0.3812,90.7573,199525.77
10,2,8,0.8,380773.537,25362.558,15.0132,260.3868,0.3686,93.625,205232.16
10,1,9,0.9,392935.739,26261.9359,14.9622,274.4736,0.3561,96.4926,210938.55
10,0,10,1.0,405097.941,27131.5169,14.9309,288.5603,0.3435,99.3603,216644.94
11,11,0,0.0,311823.5131,17291.6713,18.0332,147.6928,0.4692,70.6836,175539.144
11,10,1,0.0909,323985.7151,18585.7963,17.4319,160.4989,0.4578,73.2906,181245.534
11,9,2,0.1818,336147.9171,19795.4984,16.981,173.3051,0.4463,75.8975,186951.924
11,8,3,0.2727,348310.1191,20935.417,16.6374,186.1112,0.4349,78.5045,192658.314
11,7,4,0.3636,360472.3211,22016.3943,16.3729,198.9173,0.4235,81.1115,198364.704
11,6,5,0.4545,372634.5231,23046.7253,16.1687,211.7235,0.4121,83.7185,204071.094
11,5,6,0.5455,384796.7251,24032.9248,16.0112,224.5296,0.4006,86.3254,209777.484
11,4,7,0.6364,396958.9271,24980.2203,15.8909,237.3358,0.3892,88.9324,215483.874
11,3,8,0.7273,409121.1291,25892.882,15.8005,250.1419,0.3778,91.5394,221190.264
11,2,9,0.8182,421283.3311,26774.4518,15.7345,262.948,0.3664,94.1464,226896.654
11,1,10,0.9091,433445.5331,27627.9061,15.6887,275.7542,0.3549,96.7533,232603.044
11,0,11,1.0,445607.7351,28455.7749,15.6597,288.5603,0.3435,99.3603,238309.434
12,12,0,0.0,340171.1052,18060.5616,18.835,147.6928,0.4692,70.6836,191497.248
12,11,1,0.0833,352333.3072,19303.2074,18.2526,159.4318,0.4587,73.0733,197203.638
12,10,2,0.1667,364495.5092,20470.558,17.8058,171.1707,0.4482,75.463,202910.028
12,9,3,0.25,376657.7112,21574.839,17.4582,182.9097,0.4378,77.8528,208616.418
12,8,4,0.3333,388819.9132,22625.2869,17.1852,194.6486,0.4273,80.2425,214322.808
12,7,5,0.4167,400982.1152,23629.0824,16.9699,206.3876,0.4168,82.6322,220029.198
12,6,6,0.5,413144.3172,24591.9391,16.8,218.1266,0.4064,85.0219,225735.588
12,5,7,0.5833,425306.5192,25518.4913,16.6666,229.8655,0.3959,87.4117,231441.978
12,4,8,0.6667,437468.7212,26412.56,16.5629,241.6045,0.3854,89.8014,237148.368
12,3,9,0.75,449630.9232,27277.3396,16.4837,253.3434,0.3749,92.1911,242854.758
12,2,10,0.8333,461793.1252,28115.5329,16.4248,265.0824,0.3644,94.5808,248561.148
12,1,11,0.9167,473955.3272,28929.4507,16.3831,276.8213,0.354,96.9706,254267.538
12,0,12,1.0,486117.5292,29721.0876,16.356,288.5603,0.3435,99.3603,259973.928
13,13,0,0.0,368518.6973,18798.0285,19.6041,147.6928,0.4692,70.6836,207455.352
13,12,1,0.0769,380680.8993,19994.8945,19.0389,158.5288,0.4595,72.8895,213161.742
13,11,2,0.1538,392843.1013,21124.0559,18.597,169.3647,0.4499,75.0954,218868.132
13,10,3,0.2308,405005.3033,22195.848,18.2469,180.2007,0.4402,77.3013,224574.522
13,9,4,0.3077,417167.5053,23218.2169,17.9672,191.0366,0.4305,79.5072,230280.912
13,8,5,0.3846,429329.7073,24197.4281,17.7428,201.8726,0.4209,81.7131,235987.302
13,7,6,0.4615,441491.9093,25138.5254,17.5624,212.7086,0.4112,83.919,241693.692
13,6,7,0.5385,453654.1113,26045.6405,17.4177,223.5445,0.4015,86.1249,247400.082
13,5,8,0.6154,465816.3133,26922.2086,17.3023,234.3805,0.3918,88.3308,253106.472
13,4,9,0.6923,477978.5153,27771.1226,17.2114,245.2165,0.3822,90.5367,258812.862
13,3,10,0.7692,490140.7173,28594.8453,17.1409,256.0524,0.3725,92.7426,264519.252
13,2,11,0.8462,502302.9193,29395.4947,17.0878,266.8884,0.3628,94.9485,270225.642
13,1,12,0.9231,514465.1213,30174.9074,17.0494,277.7243,0.3532,97.1544,275932.032
13,0,13,1.0,526627.3233,30934.6888,17.0238,288.5603,0.3435,99.3603,281638.422
14,14,0,0.0,396866.2894,19507.6361,20.3442,147.6928,0.4692,70.6836,223413.456
14,13,1,0.0714,409028.4914,20663.4411,19.7948,157.7548,0.4602,72.7319,229119.846
14,12,2,0.1429,421190.6934,21757.9348,19.358,167.8167,0.4512,74.7803,234826.236
14,11,3,0.2143,433352.8954,22799.9486,19.0067,177.8787,0.4423,76.8286,240532.626
14,10,4,0.2857,445515.0974,23796.3776,18.722,187.9407,0.4333,78.8769,246239.016
14,9,5,0.3571,457677.2994,24752.7275,18.49,198.0026,0.4243,80.9253,251945.406
14,8,6,0.4286,469839.5014,25673.4775,18.3006,208.0646,0.4153,82.9736,257651.796
14,7,7,0.5,482001.7034,26562.3301,18.1461,218.1266,0.4064,85.0219,263358.186
14,6,8,0.5714,494163.9054,27422.387,18.0205,228.1885,0.3974,87.0703,269064.576
14,5,9,0.6429,506326.1074,28256.2779,17.9191,238.2505,0.3884,89.1186,274770.966
14,4,10,0.7143,518488.3094,29066.2548,17.8382,248.3124,0.3794,91.167,280477.356
14,3,11,0.7857,530650.5114,29854.2643,17.7747,258.3744,0.3704,93.2153,286183.746
