listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue,month,year,demand_period
13970956,2025-02-01,0,28,1.0,4872.0,174.0,174.0,228.0,14.0,2.0,174.0,174.0,4872.0,2,2025,off-peak
13970956,2025-03-01,10,21,0.677,3333.0,159.0,158.7,65.0,3.0,2.0,159.0,159.0,3333.0,3,2025,off-peak
13970956,2025-04-01,9,21,0.7,3592.0,166.2,171.0,59.0,2.0,2.0,171.0,166.0,3592.0,4,2025,shoulder
13970956,2025-05-01,3,28,0.903,4479.0,159.8,160.0,95.0,2.0,2.0,160.0,160.0,4479.0,5,2025,shoulder
13970956,2025-06-01,9,21,0.7,3487.0,163.1,166.0,95.0,3.0,2.0,166.0,163.0,3487.0,6,2025,peak
13970956,2025-07-01,5,26,0.839,4192.0,161.3,161.2,93.0,3.0,2.0,161.0,161.0,4192.0,7,2025,peak
13970956,2025-08-01,9,22,0.71,3460.0,153.0,157.3,51.0,2.0,2.0,157.0,153.0,3460.0,8,2025,peak
13970956,2025-09-01,20,10,0.333,1515.0,141.9,151.5,50.0,2.0,2.0,152.0,142.0,1515.0,9,2025,shoulder
13970956,2025-10-01,7,24,0.774,3710.0,155.1,154.6,130.0,2.0,2.0,155.0,155.0,3710.0,10,2025,shoulder
13970956,2025-11-01,4,26,0.867,4291.0,163.4,165.0,111.0,6.0,2.0,165.0,163.0,4291.0,11,2025,off-peak
13970956,2025-12-01,8,23,0.742,3647.0,154.3,158.6,74.0,2.0,1.0,159.0,154.0,3647.0,12,2025,peak
13970956,2026-01-01,19,12,0.387,1696.0,142.4,141.3,24.0,2.0,2.0,141.0,142.0,1696.0,1,2026,off-peak
8698538,2025-02-01,21,7,0.25,922.0,123.7,131.7,13.0,3.0,5.0,132.0,124.0,922.0,2,2025,off-peak
8698538,2025-03-01,16,15,0.484,2024.0,143.3,134.9,5.0,3.0,6.0,135.0,143.0,2024.0,3,2025,off-peak
8698538,2025-04-01,20,10,0.333,1542.0,166.2,154.2,1.0,10.0,6.0,154.0,166.0,1542.0,4,2025,shoulder
8698538,2025-05-01,14,17,0.548,3765.0,215.0,221.5,23.0,8.0,5.0,222.0,215.0,3765.0,5,2025,shoulder
8698538,2025-06-01,23,7,0.233,1434.0,215.8,204.9,9.0,3.0,5.0,205.0,216.0,1434.0,6,2025,peak
8698538,2025-07-01,13,18,0.581,3485.0,190.5,193.6,64.0,9.0,3.0,194.0,191.0,3485.0,7,2025,peak
