term,ttm_occupancy,ttm_avg_rate,ttm_revenue
abode,-0.06020087290483315,-0.006425360802059962,-0.038518107178425666
abode hair_dryer,-0.06020087290483315,-0.006425360802059962,-0.038518107178425666
access,-0.1092241640600281,0.007066603680974013,-0.05263788147064899
access uptown,-0.1092241640600281,0.007066603680974013,-0.05263788147064899
acre,-0.12706919709062084,-0.04041928709913342,-0.07425141655752743
acre lot,-0.12706919709062084,-0.04041928709913342,-0.07425141655752743
air_conditioning babysitter_recommendations,-0.05385620926728165,0.007653192315562825,-0.026263833693589977
air_conditioning bathtub,0.12739701192556713,-0.05250233047364334,0.00455760245304713
air_conditioning board_games,-0.09528093143277447,-0.01995884940220574,-0.05492122446337815
air_conditioning ceiling_fan,0.14415877963784246,-0.004952415477090784,0.04718828850331283
air_conditioning crib,-0.0451797467580466,0.055075198455558666,0.03520528999257193
air_conditioning elevator,-0.0472538026569341,-0.013496939065597765,-0.029738348500080027
air_conditioning first_aid_kit,-0.0670293370082036,0.0012736750895143496,-0.037133656186192104
air_conditioning hair_dryer,-0.023694988422795767,-0.018459776370960138,-0.018011226752476347
air_conditioning heating,0.05257161771431543,-0.19245530598105856,-0.11500819180193338
air_conditioning indoor_fireplace,-0.18020102067310326,0.22857592150127667,0.13280324895848922
air_conditioning kitchen,-0.06956574127095952,0.006639552564635182,-0.020843928402173504
air_conditioning pool,-0.08579260016019916,0.02892656508471298,-0.0459260754681187
air_conditioning portable_fans,0.18323844923694124,-0.0730018166119184,-0.025590926758545317
air_conditioning wifi,-0.10012843883635913,-0.030119395679493746,-0.0647120311893888
airport,-0.040172912634012986,0.015703807986944738,-0.00874558962774058
airport bathtub,-0.062174997609443415,0.03431795524597395,-0.006170292570761164
airport stadium,0.0051338412530901765,-0.011890728499151425,-0.006152217609906467
america,0.026136814741876648,-0.036458249403140415,-0.025530778416718868
america stadium,0.026136814741876648,-0.036458249403140415,-0.025530778416718868
apartment,0.031120700305822657,-0.16707696460063026,-0.14184069324842064
apartment connected,0.03799932978651139,-0.09277166136258443,-0.07269805724579106
apartment hair_dryer,0.055853292442759224,-0.12026583441638687,-0.09120490456201896
apartment overlooking,-0.048249301153795915,-0.07542347812323906,-0.08386048836133476
apple,0.07576305533245924,-0.027087917851193275,0.015154794513102539
apple tv,0.07576305533245924,-0.027087917851193275,0.015154794513102539
apt,0.12963915905386347,-0.10997389029743776,-0.05479662596662679
apt city,0.08118136356293247,0.016566611033179347,0.06026062822245236
apt close,0.14136326608176894,-0.08278174779610693,-0.045150179449492116
apt hair_dryer,0.0296937965082362,-0.02143755740907893,0.004943154008943158
apt heart,-0.025643087398068035,-0.020916045286672007,-0.02885180584249544
apt historic,0.07680849938304281,-0.07345011694252514,-0.04972909302718054
apt private,-0.08870992341023373,-0.043661324284568384,-0.06145333679210245
apt university,0.03067607942436846,-0.05975741684366382,-0.0444728377875907
apt uptown,-0.014652989404662295,0.006510823286508757,-0.0014643752250415203
area,-0.03665820198796431,-0.09117943980962122,-0.09253936875965595
area hair_dryer,-0.050355292123515534,-0.028238816077698837,-0.04311565087157791
area king,-0.11471280759866599,-0.06675198103319063,-0.08896833500662427
area pets,0.1014460785951375,-0.0676077142328731,-0.03166181985425105
arena,-0.08067919206585937,0.03647824055048383,-0.03349518017871418
arena uptown,-0.08067919206585937,0.03647824055048383,-0.03349518017871418
arts,-0.061191499540426374,-0.010050916208437738,-0.019035568806151343
arts district,-0.061191499540426374,-0.010050916208437738,-0.019035568806151343
available,-0.033713707426706256,-0.01579989563187117,-0.027423636443739165
available long,-0.033713707426706256,-0.01579989563187117,-0.027423636443739165
avenue,-0.021482706991973414,0.03398892320824576,0.03973297314063983
avenue high_chair,-0.021482706991973414,0.03398892320824576,0.03973297314063983
away,0.0373865436606514,-0.04596144233457481,-0.02681149545841497
away hair_dryer,0.10823817903459307,-0.0593862237080143,-0.012090107402046099
away home,-0.04567628847870025,-0.008635006826754457,-0.02486875550478725
ayrsley,0.03799014960695827,-0.06749918770630446,-0.05126645774868927
ayrsley live,0.03799014960695827,-0.06749918770630446,-0.05126645774868927
ba,-0.05414281615797744,0.002183743712254039,-0.011424261558380843
ba beds,-0.0024496638774779192,-0.017652385860292767,0.0009455181841166897
ba home,-0.075695138890648,0.030290324826867415,-0.008630475490801977
ba light,-0.02688049300738599,-0.007924949464410526,-0.017208826678694323
ba private,0.004464227098700781,-0.013434626253499261,-0.01045496830113488
baby_bath,0.004255435948438692,0.02389362442510527,0.01805892667543753
baby_bath childrens_dinnerware,-0.013425365845682442,0.06342898214163468,0.04752583912136514
baby_bath outlet_covers,0.03067607942436846,-0.05975741684366382,-0.0444728377875907
baby_monitor,-0.010872022772063119,-0.008538225295908615,-0.025111592837826116
baby_monitor air_conditioning,0.0365832666641579,-0.05537431490314344,-0.04697085129411256
baby_monitor outlet_covers,-0.06381044572191497,0.06750857005267319,0.030321333255332095
baby_monitor window_guards,-0.010711757125554059,-0.006054943087802339,-0.013814731093520959
baby_safety_gates,-0.06624163326966642,0.10129862671189241,0.07391292766433846
baby_safety_gates air_conditioning,-0.03409878054696482,0.09201320829111512,0.07967324272117916
baby_safety_gates babysitter_recommendations,-0.0557540125643451,0.04768689857113847,0.014208875050479504
baby_safety_gates childrens_books_and_toys,-0.04758829309533838,-0.005113058788590019,-0.026167091337735312
baby_safety_gates outdoor_playground,-0.02650005536167576,0.018302432977321304,0.013565106077753037
babysitter_recommendations,-0.07973757221954521,0.0602370242954154,0.023889379932011613
babysitter_recommendations air_conditioning,-0.05161111161098605,0.029341306548218052,0.017617164725358212
babysitter_recommendations crib,-0.04661810687943532,0.07663033654006568,0.04287944684652554
babysitter_recommendations kitchen,-0.05385620926728165,0.007653192315562825,-0.026263833693589977
babysitter_recommendations pack_n_playtravel_crib,-0.08279964145798877,0.0500679978369575,-0.03230233955267262
bacardi,-0.00041578342320349105,0.01527335936331451,0.009546226551798754
bacardi homes,-0.00041578342320349105,0.01527335936331451,0.009546226551798754
backyard,0.06458856531451912,0.05837617170798578,0.1173724334390728
backyard bbq_grill,-0.07914183848075754,0.06819102632587039,0.049189492930005456
backyard cleaning_before_checkout,-0.04661810687943532,0.07663033654006568,0.04287944684652554
backyard dining_table,-0.0454897898764915,-0.02467269432912928,-0.03379495510598053
backyard fire_extinguisher,-0.04047751470746902,0.05128301938537746,0.07356408268052471
backyard fire_pit,0.21876570995705258,0.1547211893131802,0.23504544216185225
backyard free_parking_on_premises,0.05253083208502053,-0.13272053998531222,-0.10178674949621921
backyard free_street_parking,-0.06822605344089863,-0.017400267231500222,-0.039712176379695846
