column,dtype,unique_values,missing_count,missing_pct,sample_value
Entire condo,int64,2,0,0.0,0
Entire cottage,int64,2,0,0.0,0
Entire guest suite,int64,2,0,0.0,0
Entire guesthouse,int64,2,0,0.0,0
Entire home,int64,2,0,0.0,1
Entire loft,int64,2,0,0.0,0
Entire place,int64,2,0,0.0,0
Entire rental unit,int64,2,0,0.0,0
Entire townhouse,int64,2,0,0.0,0
Private room in bungalow,int64,2,0,0.0,0
Private room in home,int64,2,0,0.0,0
Tiny home,int64,2,0,0.0,0
amenities,str,216,0,0.0,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darke"
baths,float64,9,0,0.0,1.0
bedrooms,float64,8,0,0.0,2.0
beds,float64,11,0,0.0,3.0
booked_rate_avg,float64,208,0,0.0,174.0
booking_lead_time_avg,float64,70,0,0.0,228.0
cancellation_Flexible,int64,2,0,0.0,0
cancellation_Limited,int64,2,0,0.0,0
cancellation_Moderate,int64,2,0,0.0,1
cancellation_Strict,int64,2,0,0.0,0
cancellation_Super Strict 30 Days,int64,2,0,0.0,0
cleaning_fee,float64,60,0,0.0,90.0
date_day,int64,1,0,0.0,1
date_month,int64,8,0,0.0,2
date_year,int64,1,0,0.0,2025
extra_guest_fee,float64,7,0,0.0,0.0
guests,float64,14,0,0.0,4.0
host_id,int64,154,0,0.0,25460427
l90d_adjusted_occupancy,float64,36,0,0.0,0.0
l90d_adjusted_revpar,float64,39,0,0.0,0.0
l90d_adjusted_revpar_native,float64,39,0,0.0,0.0
l90d_available_days,int64,66,0,0.0,30
l90d_avg_rate,float64,206,0,0.0,152.8
l90d_avg_rate_native,float64,206,0,0.0,152.8
l90d_blocked_days,int64,40,0,0.0,0
l90d_occupancy,float64,66,0,0.0,0.667
l90d_reserved_days,int64,66,0,0.0,60
l90d_revenue,float64,179,0,0.0,10884.0
l90d_revenue_native,float64,179,0,0.0,10884.0
l90d_revpar,float64,172,0,0.0,104.9
l90d_revpar_native,float64,172,0,0.0,104.9
l90d_total_days,int64,1,0,0.0,90
latitude,float64,173,0,0.0,35.2219
length_of_stay_avg,float64,33,0,0.0,14.0
listing_id,int64,220,0,0.0,13970956
listing_name,str,220,0,0.0,*Sparkling Clean* 5-Star Modern Luxury Near Uptown
longitude,float64,182,0,0.0,-80.8011
min_nights,float64,16,0,0.0,2.0
min_nights_avg,float64,18,0,0.0,2.0
native_booked_rate_avg,float64,138,0,0.0,174.0
native_rate_avg,float64,139,0,0.0,174.0
native_revenue,float64,213,0,0.0,4872.0
num_reviews_x,int64,179,0,0.0,250
num_reviews_y,int64,11,0,0.0,2
occupancy,float64,59,0,0.0,1.0
photos_count,int64,64,0,0.0,25
professional_management,int64,2,0,0.0,0
rate_avg,float64,202,0,0.0,174.0
rating_accuracy,float64,6,0,0.0,5.0
rating_checkin,float64,5,0,0.0,5.0
rating_cleanliness,float64,8,0,0.0,5.0
rating_communication,float64,6,0,0.0,5.0
rating_location,float64,7,0,0.0,5.0
rating_overall,float64,42,0,0.0,4.96
rating_value,float64,7,0,0.0,4.9
registration,int64,1,0,0.0,0
reserved_days,int64,30,0,0.0,28
revenue,float64,213,0,0.0,4872.0
room_type,str,2,0,0.0,entire_home
superhost,int64,2,0,0.0,1
ttm_adjusted_occupancy,float64,100,0,0.0,0.0
ttm_adjusted_revpar,float64,104,0,0.0,0.0
ttm_adjusted_revpar_native,float64,104,0,0.0,0.0
ttm_available_days,int64,156,0,0.0,103
ttm_avg_rate,float64,209,0,0.0,157.6
ttm_avg_rate_native,float64,209,0,0.0,157.6
ttm_blocked_days,int64,87,0,0.0,0
ttm_occupancy,float64,156,0,0.0,0.718
ttm_reserved_days,int64,156,0,0.0,262
ttm_revenue,float64,220,0,0.0,48754.0
ttm_revenue_native,float64,220,0,0.0,48754.0
ttm_revpar,float64,201,0,0.0,115.8
ttm_revpar_native,float64,201,0,0.0,115.8
ttm_total_days,int64,1,0,0.0,365
vacant_days,int64,30,0,0.0,0
