listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
139741,Swanky Furnished Townhome in Uptown Downtown,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-139741/original/f649ef37-6539-444b-91cf-1425da4430bb.jpeg,169,681513,Daniel,"","",false,35.2343,-80.8378,3,1,2,1.0,false,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Private entrance,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,true,2,Firm,USD,138,0,172,4.64,4.8,4.9,4.7,4.7,4.8,4.7,11501.0,11501.0,167.0,167.0,0.167,0.223,28.1,28.1,37.4,37.4,61,91,304,365,1111.0,1111.0,183.0,183.0,0.067,0.214,10.8,10.8,34.8,34.8,6,62,84,90
492113,Basil Bungalow Guesthouse | Plaza Midwood,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-492113/original/af120e41-1bc6-4357-a236-9f247068cf57.jpeg,24,2432296,Scott And Taryn,303968101,Neome,true,35.2213,-80.8121,4,1,2,1.0,false,"Wifi,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Long term stays allowed",,true,2,Firm,USD,90,0,810,4.87,4.9,4.9,4.8,4.9,5.0,4.8,38467.0,38467.0,118.2,118.2,0.767,0.0,90.3,90.3,0.0,0.0,280,0,85,365,8816.0,8816.0,119.0,119.0,0.744,0.0,86.0,86.0,0.0,0.0,67,0,23,90
547871,Basil Bungalow | Plaza Midwood,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-547871/original/cffb69e2-0197-4e4f-a023-e4da4fb6759a.jpeg,22,2432296,Scott And Taryn,303968101,Neome,true,35.2213,-80.8121,6,2,3,2.0,false,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Single level home",,true,2,Firm,USD,110,0,345,4.89,4.9,5.0,4.8,4.9,5.0,4.8,77075.0,77075.0,275.7,275.7,0.69,0.0,193.7,193.7,0.0,0.0,252,0,113,365,21028.0,21028.0,349.3,349.3,0.6,0.0,221.4,221.4,0.0,0.0,54,0,36,90
728239,Cozy Studio Apt w/ Private Bathroom,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/9c96665c-79e4-46d9-954b-07301556e7b5.jpg,31,3576594,Ruth,"","",false,35.0754,-80.7648,2,1,1,1.0,false,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Outlet covers,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Refrigerator,Microwave,Freezer,Hot water kettle,Coffee maker,Wine glasses,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Single level home,Luggage dropoff allowed",,false,1,Moderate,USD,20,0,791,4.88,4.9,5.0,4.9,5.0,4.9,4.9,5334.0,5334.0,80.2,80.2,0.181,0.254,14.2,14.2,20.0,20.0,66,105,299,365,0.0,0.0,83.5,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
1024811,Hey Ya'll  ~  Free Parking | Pets Welcome,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAyNDgxMQ%3D%3D/original/542b77b9-4272-49a1-985a-e944b2ee1444.jpeg,30,4922218,Kristin,"","",true,35.2229,-80.8129,2,1,1,1.0,false,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Record player,Exercise equipment,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Changing table,Outlet covers,Board games,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Elevator,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,false,2,Flexible,USD,80,0,240,4.93,4.9,4.9,4.9,4.9,4.9,4.9,55303.0,55303.0,195.9,195.9,0.732,0.795,146.9,146.9,159.6,159.6,267,29,98,365,12203.0,12203.0,178.3,178.3,0.7,0.0,125.8,125.8,0.0,0.0,63,0,27,90
1369509,Plaza Midwood private room and bath,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/48254672/47dd734e_original.jpg,155,5106526,Garrett,2695319,Daniel F,true,35.2274,-80.8111,2,1,1,1.0,false,"Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Mini fridge,Freezer,Coffee maker,Wine glasses,Barbecue utensils,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Single level home,Long term stays allowed",,false,2,Moderate,USD,0,0,322,4.88,4.9,5.0,4.9,5.0,5.0,4.9,23970.0,23970.0,93.0,93.0,0.712,0.0,65.7,65.7,0.0,0.0,260,0,105,365,1713.0,1713.0,89.8,89.8,0.244,0.0,19.0,19.0,0.0,0.0,22,0,68,90
1502803,Charming bungalow - Uptown 1mi away!,Entire home,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-1502803/original/0475b7b6-b884-4a85-8dfc-067473fb03bd.jpg,21,7087952,Kristin,"","",true,35.2430,-80.8638,3,2,2,1.0,false,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Board games,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Coffee,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Single level home,Long term stays allowed",,false,3,Moderate,USD,100,0,117,4.81,4.9,5.0,4.7,4.9,4.8,4.8,35161.0,35161.0,119.0,119.0,0.712,0.0,83.5,83.5,0.0,0.0,260,0,105,365,6975.0,6975.0,136.5,136.5,0.467,0.0,65.3,65.3,0.0,0.0,42,0,48,90
1785000,Fully Furnished Private Room w/Separate Bath,Private room in home,private_room,https://a0.muscache.com/im/pictures/7cbd786e-f1e4-40bf-a7ad-d4a17ef5f9ac.jpg,21,9368298,Ashwin,"","",false,35.0234,-80.8467,,,1,0.0,false,"Washer,Dryer,TV,Air conditioning,Indoor fireplace,Heating,Wifi,Kitchen,Free parking on premises,Pool",,false,1,Flexible,USD,0,0,97,4.95,5.0,5.0,5.0,5.0,5.0,5.0,4170.0,4170.0,48.1,48.1,0.233,0.559,11.4,11.4,27.4,27.4,85,213,280,365,329.0,329.0,45.8,45.8,0.078,0.5,3.7,3.7,23.5,23.5,7,76,83,90
2012313,Home away from home.Very Peaceful,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-2012313/original/b4dcc323-9680-4c06-98f1-617dcbd06c86.jpeg,13,10353185,Hattie,"","",true,35.2168,-80.8759,8,3,8,2.0,false,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,Baby safety gates,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Private entrance,Backyard,Free parking on premises",,false,2,Flexible,USD,47,0,274,4.71,4.8,4.9,4.7,4.9,4.8,4.8,20970.0,20970.0,175.8,175.8,0.31,0.0,55.4,55.4,0.0,0.0,113,0,252,365,4026.0,4026.0,199.2,199.2,0.211,0.0,42.6,42.6,0.0,0.0,19,0,71,90
3241085,Peaceful Sanctuary,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-3241085/original/5a9e85e4-2cd2-4e7c-ba7b-21b6f155e8d1.jpg,39,16398123,Eleanor,"","",true,35.0337,-80.7981,,,1,0.0,false,"Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Patio or balcony,Backyard,Free parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,false,2,Moderate,USD,0,40,89,4.99,5.0,5.0,5.0,5.0,5.0,5.0,8588.0,8588.0,58.9,58.9,0.405,0.431,23.5,23.5,25.0,25.0,148,22,217,365,977.0,977.0,62.7,62.7,0.178,0.0,10.9,10.9,0.0,0.0,16,0,74,90
