listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
13970956,2025-02-01,0,28,1.0,4872.0,174.0,174.0,228,14,2,174.0,174.0,4872.0
13970956,2025-03-01,10,21,0.677,3333.0,159.0,158.7,65,3,2,159.0,159.0,3333.0
13970956,2025-04-01,9,21,0.7,3592.0,166.2,171.0,59,2,2,171.0,166.0,3592.0
13970956,2025-05-01,3,28,0.903,4479.0,159.8,160.0,95,2,2,160.0,160.0,4479.0
13970956,2025-06-01,9,21,0.7,3487.0,163.1,166.0,95,3,2,166.0,163.0,3487.0
13970956,2025-07-01,5,26,0.839,4192.0,161.3,161.2,93,3,2,161.0,161.0,4192.0
13970956,2025-08-01,9,22,0.71,3460.0,153.0,157.3,51,2,2,157.0,153.0,3460.0
13970956,2025-09-01,20,10,0.333,1515.0,141.9,151.5,50,2,2,152.0,142.0,1515.0
13970956,2025-10-01,7,24,0.774,3710.0,155.1,154.6,130,2,2,155.0,155.0,3710.0
13970956,2025-11-01,4,26,0.867,4291.0,163.4,165.0,111,6,2,165.0,163.0,4291.0
13970956,2025-12-01,8,23,0.742,3647.0,154.3,158.6,74,2,1,159.0,154.0,3647.0
13970956,2026-01-01,19,12,0.387,1696.0,142.4,141.3,24,2,2,141.0,142.0,1696.0
8698538,2025-02-01,21,7,0.25,922.0,123.7,131.7,13,3,5,132.0,124.0,922.0
8698538,2025-03-01,16,15,0.484,2024.0,143.3,134.9,5,3,6,135.0,143.0,2024.0
8698538,2025-04-01,20,10,0.333,1542.0,166.2,154.2,1,10,6,154.0,166.0,1542.0
8698538,2025-05-01,14,17,0.548,3765.0,215.0,221.5,23,8,5,222.0,215.0,3765.0
8698538,2025-06-01,23,7,0.233,1434.0,215.8,204.9,9,3,5,205.0,216.0,1434.0
8698538,2025-07-01,13,18,0.581,3485.0,190.5,193.6,64,9,3,194.0,191.0,3485.0
